"PHL NO.";"OLD ACC. NO.";"GB NO.";"COLLECTING No.";"CULTIVAR/VARIETY NAME/PEDIGREE";"DIALECT";"SOURCE/ GROWER";"SCIENTIFIC NAME";"COUNT COLL.";"PROV/STATE";"TOWN";"BARANGAY";"SITIO";"";"ACQ. DATE";"REMARKS";"LATITUDE";"LONGITUDE";"LAT";"LONG";"ALTITUDE";"COLLECTING  SOURCE";"GENETIC  STATUS";"SAMPLE  TYPE";"SAMPLING METHOD";"MATERIAL COLLECTED";"TOPOGRAPHY";"SITE";"SOIL TEXTURE";"DRAINAGE";"SOIL COLOR";"STONINESS";"NOTE"
"9754";"51";"28";"";"(PHIL DMR x P.RICO GPO 6) #3";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9755";"53";"29";"";"(A dE C x CUBA IIJ)(METRO x CUBA IIJ)(#3 x PHIL DMR5)#";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9756";"54";"30";"";"(COLLEGE COMP 67) # x PHIL DMR 5) #2";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9757";"56";"31";"";"(CARIBEAN YF x METRO) #2 x PH DMR 1";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9758";"57";"32";"";"(FCA x P.RICO GPO 3) #4 x PH DMR 1) #2";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow/White";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9759";"58";"33";"";"(P.RICO GPO 1) # x PHIL DMR 1) #";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9760";"59";"34";"";"(FCA x METRO #3 x PHIL DMR 1) #2";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9761";"61";"35";"";"(METRO SYN III x PHIL DMR 1) #2";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow/Light Purple";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9762";"62";"36";"";"(TUXPANTIGUA x TEQUISATE) #4 x PHIL DMR 1) #2";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9763";"64";"";"";"(CWxTuxp.) Comp. DMR Syn 22)II x Phil DMR5";"";"";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9764";"65";"37";"";"(MCBR-3 x PHIL DMR 1) #2";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
