"PHL NO.";"DAYS_EMER";"Column1";"";"DAYS_TASS";"Column1";"";"DAYS_SILK";"Column1";"";"DAYS_HARV"
"484";"6";"";"";"";"";"";"47";"";"";"88"
"485";"6";"";"";"";"";"";"47";"";"";"88"
"486";"6";"";"";"";"";"";"47";"";"";"88"
"487";"4";"";"";"";"";"";"47";"";"";"88"
"337";"7";"";"";"";"";"";"46";"";"";"87"
"488";"6";"";"";"";"";"";"47";"";"";"88"
"489";"6";"";"";"";"";"";"48";"";"";"88"
"490";"6";"";"";"";"";"";"47";"";"";"88"
"491";"6";"";"";"";"";"";"48";"";"";"88"
"492";"6";"";"";"";"";"";"50";"";"";"88"
"493";"6";"";"";"";"";"";"47";"";"";"88"
"494";"6";"";"";"";"";"";"47";"";"";"88"
"495";"6";"";"";"";"";"";"47";"";"";"88"
"496";"6";"";"";"";"";"";"47";"";"";"88"
"497";"6";"";"";"";"";"";"47";"";"";"88"
"498";"6";"";"";"";"";"";"47";"";"";"88"
"499";"6";"";"";"";"";"";"47";"";"";"88"
"500";"6";"";"";"";"";"";"47";"";"";"88"
"501";"6";"";"";"";"";"";"47";"";"";"88"
"502";"6";"";"";"";"";"";"47";"";"";"88"
"503";"6";"";"";"";"";"";"55";"";"";"88"
"504";"6";"";"";"";"";"";"55";"";"";"88"
"505";"6";"";"";"";"";"";"48";"";"";"88"
"506";"6";"";"";"";"";"";"51";"";"";"88"
"507";"6";"";"";"";"";"";"51";"";"";"88"
